problem_id,gt_result,result,running time,unencodeable_reason
85,225,225,0.10000604204833508,
86,10,10,0.27590329200029373,
87,2838,2838,0.10687195812352002,
88,1680,skipped,0.0,"unencodeable, cube"
89,16,skipped,0.0,"unencodeable, not combinatorics"
90,672,672,0.0838612918742001,
91,771400,771400,0.10020700003951788,
92,15600,15600,0.15323991584591568,
93,5,5,0.09662787499837577,
94,56,56,0.08788908296264708,
95,6,6,0.34833916602656245,
96,480,480,0.1778514999896288,
97,16,16,0.07083737500943244,
98,12,12,0.39467558404430747,
99,360,360,0.14190295804291964,
100,650,650,0.2868877500295639,
101,5,5,0.12249199999496341,
102,432,432,0.9620444171596318,
103,495,495,0.06379724992439151,
104,840,840,0.1289044579025358,
105,720,720,0.10740104108117521,
106,15,15,0.4222794999368489,
107,15,15,0.17292533279396594,
108,126,126,0.09063816699199378,
109,140,140,0.2755958328489214,
110,504,504,0.16891224985010922,
111,3,3,0.12657266692258418,
112,1940,1940,0.1284431661479175,
113,362880,362880,0.07324408297426999,
114,21,21,0.06309875007718801,
115,255,skipped,0.0,"unencodeable, not combinatorics"
116,126,126,0.06437537493184209,
117,5,5,0.18617745907977223,
118,1024,1024,0.17835212498903275,
119,30,30,0.09765312494710088,
120,30860,30860,0.44813162507489324,
121,4,4,0.14833016600459814,
122,12,12,0.06514570885337889,
123,3,skipped,0.0,"unencodeable, cube"
124,32,32,0.08025479107163846,
125,100000,100000,0.08151837508194149,
126,6,6,0.16581162507645786,
127,43,43,0.5441841250285506,
128,12500,12500,0.28949920809827745,
129,36,36,0.2400085828267038,
130,34560,34560,3.8529266251716763,
131,1512,1512,0.22751791612245142,
132,72,72,0.24344299989752471,
133,880,880,0.16487770806998014,
134,4320,4320,0.2557713750284165,
135,60,60,0.139240707969293,
136,4320,4320,0.466024334076792,
137,3600,3600,0.1771505840588361,
138,7000,7000,0.13439808320254087,
139,165,165,0.09687320818193257,
140,4,skipped,0.0,"unencodeable, not combinatorics"
141,120,120,0.09548995806835592,
142,151200,151200,0.2775504169985652,
143,10,10,0.30553000001236796,
144,15,15,0.18508362513966858,
145,59049,59049,0.11814325000159442,
146,371043400,371043400,0.13896674988791347,
147,33800,33800,0.4132768341805786,
148,29700,29700,0.32549329102039337,
149,2880,2880,0.36297037499025464,
150,2,skipped,0.0,"unencodeable, not combinatorics"
151,180,180,0.6047706669196486,
152,36,36,0.0688589580822736,
153,8,8,0.0795179579872638,
154,12,12,0.06508870795369148,
155,40320,40320,0.06375345797277987,
156,62,62,0.0886438749730587,
157,156,156,0.2494875411503017,
158,125,125,0.083727166056633,
159,819,skipped,0.0,"unencodeable, sequence"
160,49,49,1.4739772498141974,
161,864,864,1.132613291963935,
162,56,56,0.06255054217763245,
163,3003,3003,0.0716735830064863,
164,968,968,0.09050041600130498,
165,7,7,0.11400466598570347,
166,58500,58500,0.2250365000218153,
167,48048,48048,0.10793754202313721,
168,12,12,0.24098500004038215,
